x,y,tam
43490479,446471170,9
43509177,446454446,31
43519781,446447222,35
43515286,446479951,35
43513538,446479818,35
43538291,446450405,36
43533123,446484720,36
43532669,446484887,36
43539231,446447526,36
43534888,446447790,37
43536561,446447731,38
43535945,446456535,38
43549308,446447066,38
43549308,446447066,38
43517749,446450393,39
43517749,446450393,39
43485043,446466757,39
43497498,446464930,39
43535483,446451781,39
43538520,446492884,39
43503450,446464540,40
43535945,446456535,40
43497498,446464930,41
43523327,446437720,41
43535945,446456535,43
43535945,446456535,43
43521873,446449921,45
43543396,446501908,45
43500689,446461591,46
43539390,446458192,46
43520538,446450085,47
43526432,446485084,47
43501975,446460964,47
43505682,446475618,47
43505682,446475618,47
43503313,446508817,47
43518919,446433898,47
43518919,446433898,47
43524120,446476690,48
43519810,446496682,48
43505682,446475618,48
43505682,446475618,48
43505682,446475618,48
43515078,446452295,48
43507073,446517096,48
43508559,446517046,48
43509945,446516942,48
43538650,446454666,48
43545769,446456985,48
43551352,446481963,48
43515548,446441320,49
43515548,446441320,49
43521873,446449921,49
43522999,446498129,49
43488763,446469025,49
43513671,446514411,49
43518919,446433898,49
43530380,446465764,49
43546750,446483406,49
43506068,446477329,49
43520538,446450085,50
43521873,446449921,50
43515078,446452295,50
43515286,446479951,50
43511358,446516926,50
43511358,446516926,50
43513671,446514411,50
43539280,446454374,50
43536286,446510971,50
43543404,446465072,50
43542759,446487917,50
43548663,446485872,50
43548663,446485872,50
43544385,446479904,50
43553301,446464714,50
43549984,446474701,50
43547613,446496631,50
43543396,446501908,50
43512268,446474899,51
43522404,446481547,51
43522404,446481547,51
43522404,446481547,51
43522404,446481547,51
43522404,446481547,51
43522404,446481547,51
43522404,446481547,51
43522404,446481547,51
43522411,446496659,51
43521936,446495212,51
43523322,446508243,51
43523322,446508243,51
43523322,446508243,51
43523322,446508243,51
43523322,446508243,51
43523322,446508243,51
43526469,446499996,51
43526469,446499996,51
43524857,446511646,51
43524857,446511646,51
43524857,446511646,51
43524857,446511646,51
43524857,446511646,51
43524857,446511646,51
43524857,446511646,51
43524857,446511646,51
43524857,446511646,51
43524857,446511646,51
43515078,446452295,51
43515078,446452295,51
43515078,446452295,51
43512640,446507036,51
43504570,446514768,51
43535483,446451781,51
43537575,446497478,51
43530760,446507040,51
43530760,446507040,51
43530760,446507040,51
43530760,446507040,51
43530760,446507040,51
43536987,446512381,51
43544639,446444731,51
43544341,446457381,51
43547626,446456641,51
43544012,446468200,51
43548019,446459258,51
43545019,446460364,51
43544607,446487368,51
43544753,446483576,51
