x,y,tam
43373140,446780370,22
43375244,446798231,26
43376084,446786623,27
43375244,446798231,28
43367660,446774126,29
43388321,446773854,30
43373140,446780370,30
43373140,446780370,30
43385562,446771824,31
43385562,446771824,31
43367660,446774126,32
43373140,446780370,32
43373140,446780370,32
43366008,446782192,33
43382306,446800618,34
43414484,446763198,34
43414484,446763198,34
43386325,446767113,35
43386325,446767113,35
43384025,446779441,35
43386046,446798348,35
43361427,446772266,35
43361427,446772266,35
43414484,446763198,35
43414484,446763198,35
43387249,446780599,35
43384863,446774770,36
43383336,446768132,37
43362042,446788332,37
43413949,446751307,38
43384974,446763119,38
43384250,446769539,39
43382306,446800618,39
43382306,446800618,39
43383574,446799890,39
43399078,446769954,39
43373140,446780370,39
43373140,446780370,39
43387249,446780599,39
43387249,446780599,39
43384250,446769539,40
43382306,446800618,40
43382306,446800618,40
43379931,446808921,40
43361962,446776582,40
43361962,446776582,40
43370127,446790057,40
43379649,446788161,40
43371114,446803257,40
43388321,446773854,41
43366008,446782192,41
43389490,446767924,41
43370127,446790057,41
43370127,446790057,41
43370127,446790057,41
43370127,446790057,41
43410585,446756237,41
43376810,446790949,41
43381727,446766342,41
43384974,446763119,41
43386325,446767113,42
43386325,446767113,42
43384309,446771191,42
43384309,446771191,42
43381774,446784312,42
43379263,446771564,42
43379263,446771564,42
43378182,446769759,42
43388321,446773854,43
43388321,446773854,43
43388321,446773854,43
43388504,446771625,43
43384309,446771191,43
43384309,446771191,43
43383574,446799890,43
43383574,446799890,43
43386046,446798348,43
43386046,446798348,43
43386046,446798348,43
43368776,446769707,43
43389490,446767924,43
43396298,446764097,43
43363602,446780991,43
43364002,446792980,43
43401983,446761325,43
43402063,446763430,43
43414484,446763198,43
43379649,446788161,43
43379649,446788161,43
43388504,446771625,44
43388504,446771625,44
43384250,446769539,44
43384309,446771191,44
43384309,446771191,44
43385635,446778434,44
43380647,446794492,44
43380647,446794492,44
43386046,446798348,44
43386046,446798348,44
43368790,446780312,44
43393473,446769958,44
43363602,446780991,44
43370127,446790057,44
43402937,446758491,44
43402937,446758491,44
43402937,446758491,44
43402937,446758491,44
43413949,446751307,44
43368231,446795471,44
43375894,446794592,44
