142629;1;1;2;4;4;1100;1115;1;5;11;2,435746544;48;1;4;1;74;74
142629;1;2;2;4;4;1330;1345;5;5;11;2,770581961;48;1;4;1;74;74
142629;1;3;2;4;4;1400;1405;5;1;11;0,407125124;48;1;4;1;74;74
142629;2;1;2;6;1;700;800;1;4;1;11,20695088;22;1;4;1;115;74
142629;2;2;2;6;1;1400;1430;4;1;14;11,20695088;22;1;4;1;74;115
142629;3;1;2;6;1;810;820;1;4;3;1,349005065;19;1;4;1;74;74
142629;3;2;2;6;1;1420;1435;4;1;3;1,349005065;19;1;4;1;74;74
142629;3;3;2;6;1;1530;1540;1;9;24;0,705270594;19;1;4;1;74;74
142629;3;4;2;6;1;1730;1740;9;1;24;0,705270594;19;1;4;1;74;74
142629;4;1;1;6;1;810;820;1;4;3;1,349005065;19;1;4;1;74;74
142629;4;2;1;6;1;1420;1435;4;1;3;1,349005065;19;1;4;1;74;74
142629;4;3;1;6;1;1530;1540;1;9;24;0,705270594;19;1;4;1;74;74
142629;4;4;1;6;1;1730;1740;9;1;24;0,705270594;19;1;4;1;74;74
156268;1;-1;2;4;1;-1;-1;-1;-1;-1;-1;38;2;3;1;;
156268;3;1;2;6;1;820;830;1;4;24;0,373469946;15;2;3;1;74;74
156268;3;2;2;6;1;1530;1540;4;1;24;0,373469946;15;2;3;1;74;74
156268;3;3;2;6;1;1550;1600;1;7;24;0,315932612;15;2;3;1;74;74
156268;3;4;2;6;1;1605;1615;7;1;24;0,315932612;15;2;3;1;74;74
156268;4;1;1;6;1;850;900;1;4;24;0,315932612;9;2;3;1;74;74
156268;4;2;1;6;1;1230;1240;4;1;24;0,315932612;9;2;3;1;74;74
156268;4;3;1;6;1;1420;1430;1;4;24;0,315932612;9;2;3;1;74;74
156268;4;4;1;6;1;1605;1615;4;1;24;0,315932612;9;2;3;1;74;74
158404;1;1;2;4;4;908;910;1;6;11;0,452367753;60;1;2;1;74;74
158404;1;2;2;4;4;1028;1030;6;1;11;0,452367753;60;1;2;1;74;74
158404;2;1;2;6;4;730;820;1;4;2;13,0206146;21;1;2;1;79;74
158404;2;2;2;6;4;1330;1430;4;1;2;13,0206146;21;1;2;1;74;79
468262;1;-1;1;4;4;-1;-1;-1;-1;-1;-1;60;0;2;1;;
468262;2;1;2;6;1;900;915;1;4;24;1,604763832;23;0;2;1;74;74
468262;2;2;2;6;1;1300;1330;4;1;24;1,604763832;23;0;2;1;74;74
474654;1;1;2;7;4;845;900;1;7;24;0,329405777;39;0;4;1;74;74
