id_hog,id_per,id_via,sexo,trabajo,carnet,hora_ini,hora_fin,mot_origen,mot_destino,vehiculo,distancia,edad,num_veh,num_miembros_fam,num_adultos,pueblo_dest,pueblo_orig
127111,1,1,1,4,1,1000,1030,1,10,4,3.907533583,44,0,4,3,092,074
127111,1,2,1,4,1,1200,1230,10,1,4,3.907533583,44,0,4,3,074,092
127111,2,1,2,4,1,1600,1745,1,5,10,35.71708337,26,0,4,3,080,074
127111,2,2,2,4,1,2030,2210,5,1,10,35.71708337,26,0,4,3,074,080
127111,3,1,2,4,1,850,900,1,7,24,0.74097516,36,0,4,3,074,074
127111,3,2,2,4,1,900,910,7,1,24,0.74097516,36,0,4,3,074,074
127111,3,3,2,4,1,1000,1030,1,10,4,3.907533583,36,0,4,3,092,074
127111,3,4,2,4,1,1200,1230,10,1,4,3.907533583,36,0,4,3,074,092
127111,3,5,2,4,1,1350,1400,1,10,24,0.74097516,36,0,4,3,074,074
127111,3,6,2,4,1,1400,1410,10,1,24,0.74097516,36,0,4,3,074,074
127111,3,7,2,4,1,1800,1805,1,9,24,0.197096514,36,0,4,3,074,074
127111,3,8,2,4,1,2000,2005,9,1,24,0.197096514,36,0,4,3,074,074
127111,4,1,1,6,1,850,900,1,4,24,0.74097516,6,0,4,3,074,074
127111,4,2,1,6,1,1400,1410,4,1,24,0.74097516,6,0,4,3,074,074
127111,4,3,1,6,1,1800,1805,1,9,24,0.197096514,6,0,4,3,074,074
127111,4,4,1,6,1,2000,2005,9,1,24,0.197096514,6,0,4,3,074,074
160983,1,1,1,3,4,1700,1710,1,8,24,0.263674065,67,2,3,2,074,074
160983,1,2,1,3,4,1900,1910,8,1,24,0.263674065,67,2,3,2,074,074
160983,2,1,2,3,4,1145,1200,1,8,24,0.356664715,61,2,3,2,074,074
160983,2,2,2,3,4,1300,1310,8,1,24,0.356664715,61,2,3,2,074,074
160983,3,1,2,6,4,930,950,1,4,4,5.760232592,21,2,3,2,092,074
160983,3,2,2,6,4,1600,1620,4,1,4,5.760232592,21,2,3,2,074,092
162181,1,-1,1,4,4,-1,-1,-1,-1,-1,-1,50,1,3,2,,
162181,2,-1,2,4,4,-1,-1,-1,-1,-1,-1,50,1,3,2,,
