d3;
211;187
204;233
251;262
285;233
260;219
271;214
236;213
236;231
232;193
215;217
199;216
201;206
180;181
163;189
166;177
179;160
138;149
164;148
151;142
167;152
156;136
125;154
157;169
143;131
134;154
173;135
145;141
150;153
173;169
159;177
159;182
203;228
226;232
257;299
281;289
290;308
309;304
359;347
370;403
417;388
457;392
419;410
405;428
429;401
426;378
369;345
307;284
305;301
272;284
265;257
260;263
234;235
222;200
201;219
198;196
173;204
178;188
182;151
166;181
171;139
128;142
136;129
106;138
101;125
98;130
110;157
128;146
97;124
106;149
134;156
149;175
130;163
119;135
139;174
129;189
144;183
133;126
103;108
109;135
63;67
80;86
77;87
77;77
54;75
47;69
48;59
47;54
27;49
22;38
10;21
14;31
14;24
11;13
9;9
5;8
8;31
