d6;
47;60
76;69
75;71
77;77
73;64
75;77
84;81
95;101
95;93
83;77
98;86
86;83
81;74
67;62
73;71
80;54
71;65
54;52
61;67
55;57
48;58
79;52
59;52
64;65
58;64
68;88
80;77
68;73
68;71
86;76
66;61
66;77
71;83
101;92
80;96
90;83
99;94
108;110
118;113
122;128
124;164
144;152
154;144
152;134
155;132
151;128
122;114
135;116
102;140
129;102
108;83
112;95
100;79
83;68
86;84
81;55
68;60
59;58
62;72
65;79
62;63
48;58
41;59
46;56
42;45
45;48
47;61
33;52
57;65
48;63
46;75
52;64
38;66
63;81
64;69
61;67
47;48
38;65
61;67
43;41
31;50
42;45
38;48
19;51
18;36
25;31
17;27
20;21
10;17
6;24
4;15
5;11
7;3
2;9
1;8
2;17
