d4;
143;135
127;125
169;148
156;146
169;159
169;161
169;155
183;184
174;167
144;199
171;186
201;181
182;163
158;150
158;156
161;157
169;154
150;159
146;144
143;156
140;151
156;163
163;162
152;160
182;174
210;200
204;202
211;229
206;211
212;217
235;241
242;216
255;236
277;252
269;245
251;269
277;318
332;286
340;336
338;389
368;366
416;354
472;399
400;372
353;301
296;317
294;284
289;262
266;297
247;253
245;234
244;241
234;231
246;262
218;270
245;280
228;302
229;262
231;266
242;251
219;246
201;257
163;289
171;308
187;394
273;500
308;539
390;567
451;620
549;602
570;674
497;499
404;410
416;458
366;373
341;379
241;258
196;236
263;323
147;175
163;191
184;228
167;226
125;204
105;141
101;140
89;132
69;96
59;95
42;89
30;54
22;45
15;41
14;37
13;34
24;78
