d1;
90;100
115;123
131;116
124;121
114;126
108;140
124;120
124;120
120;135
143;123
120;141
130;132
139;146
122;108
120;103
141;98
142;132
110;116
130;117
129;124
137;122
117;135
135;132
162;153
147;169
166;167
157;164
199;186
182;182
196;176
183;194
192;178
176;181
172;215
200;197
206;216
205;199
209;236
234;215
211;252
274;233
283;265
260;260
281;242
268;256
238;270
214;244
249;211
235;223
208;226
213;232
211;216
190;191
166;211
186;197
203;216
186;192
173;208
187;186
169;211
181;196
158;203
162;187
160;164
158;201
180;192
173;199
151;207
163;240
203;257
194;287
202;272
189;292
217;291
202;307
207;237
193;188
151;166
190;215
96;104
101;132
115;132
110;135
91;126
72;102
67;101
61;99
34;74
36;61
40;57
27;50
23;43
14;30
9;21
6;13
15;66
